bucket,count,mag_mean,mag_median,mag_std,mag_q10,mag_q25,mag_q75,mag_q90,mag_skewness,mag_kurtosis,dir_mean,dir_median,dir_std,dir_q10,dir_q25,dir_q75,dir_q90,dir_skewness,dir_kurtosis,vol_mean,vol_median,vol_std,vol_q10,vol_q25,vol_q75,vol_q90,vol_skewness,vol_kurtosis,pos_mean,pos_median,pos_std,pos_q10,pos_q25,pos_q75,pos_q90,pos_skewness,pos_kurtosis
1,40708,4.654141464566648,1.0699996948242188,40.19798618696385,0.3299999237060547,0.5900001525878906,2.029998779296875,4.100006103515625,22.12781629901882,615.406069151407,-2.0361079961242488,-0.3800010681152344,26.149465511210856,-2.25,-1.0,-0.07338118553161621,0.1100006103515625,-28.372305630262495,1119.0991554839534,6616954.668271593,2067250.0,20946168.81837749,488618.2,982275.0,4542725.0,10841740.000000006,10.633689857081263,174.8338708803963,0.22490710492264654,0.16666454738446285,0.26568978732362664,0.02439089531412664,0.06969793660363774,0.3230747561529508,0.515151865444412,55.661381772121175,7209.7800751475015
2,39784,3.814753341400614,1.0059700012207031,31.638517582291065,0.31999969482421875,0.55999755859375,1.8999977111816406,3.720000076293945,22.817754784326116,671.9725448259157,-1.4685729231485765,-0.31999969482421875,20.633704347870935,-1.94000244140625,-0.8700027465820312,-0.04647326469421387,0.1699981689453125,-22.886253936158354,1084.0517703631588,5570948.762567867,2113300.0,21999343.30652177,500530.0,1018775.0,4634300.0,10245984.100000018,27.955005919243064,1233.0445030652781,-3519004.9980305517,0.18823278618200534,701898215.052909,0.025639993172671027,0.07633719492207988,0.37174424865411976,0.5903371693810413,-199.4592690250315,39783.99999999995
3,39881,3.638620042199538,1.0100021362304688,32.319769388676,0.3104991912841797,0.5500030517578125,1.9000015258789062,3.7099990844726562,29.590214254176747,1221.0445801246183,-1.3089710412188904,-0.28000640869140625,21.607970745392407,-1.8400001525878906,-0.8199996948242188,0.0,0.26000022888183594,-39.13621170306673,2901.3370757347793,6029529.844336903,2097100.0,40061934.71997446,455600.0,974800.0,4690900.0,10182000.0,79.80527156816613,9406.525511123682,-897670646.1827351,0.2181802582469341,179266873356.45468,0.02816965730856012,0.0864881806634197,0.42490018455294787,0.6617599210128761,-199.70227840462908,39880.99999999999
4,39774,3.5117342472878628,1.0218048095703125,30.535751494819632,0.3100013732910156,0.5600013732910156,1.9000015258789062,3.6399993896484375,25.616905720025134,837.6094433202536,-1.0649149718975561,-0.23000335693359375,19.26045356011295,-1.7299995422363281,-0.75,0.029998779296875,0.3600006103515625,-21.22891312716204,1133.5577994631674,6753500.944234927,2013400.0,68573305.86057769,450360.00000000006,959200.0,4480269.5,10050848.900000008,59.493453765289196,4287.4555310265505,0.3225574224687089,0.2604169150193188,0.25997385338138923,0.03225956233986836,0.1052632166003962,0.49295623300776253,0.7266544798627723,0.7587261239184421,-0.36421309928802836
5,39882,3.473049852110064,1.0263195037841797,27.97502129645755,0.31999969482421875,0.5699996948242188,1.9317474365234375,3.7400054931640625,24.346261742891638,759.6960571899697,-0.8665142995077678,-0.18999862670898438,17.140706166551944,-1.6500015258789062,-0.6999969482421875,0.0775001049041748,0.45999908447265625,-21.60619180870806,1553.409051052921,9109027.822927637,2029123.0,113659931.71783854,448120.00000000006,962425.0,4499462.25,10202180.0,33.59306482930649,1233.8240006964918,0.3537369510891648,0.2997418555222622,0.2695326522498533,0.037973277706105674,0.12430901078977306,0.5441849284877983,0.7676802861878623,0.5999170784104054,-0.661652164354535
6,40014,3.440130143675028,1.029998779296875,28.7183765577928,0.31999969482421875,0.5699996948242188,1.9500045776367188,3.7400054931640625,26.899235025848505,941.0532962408059,-0.6009679227646262,-0.14265680313110352,16.801388422536085,-1.5800018310546875,-0.6355056762695312,0.12999725341796875,0.55999755859375,-10.732162087666689,1554.4215461747237,10651057.659019344,2007550.0,136935578.32443818,450130.0,961800.0,4502750.0,10129760.000000004,28.36418551095268,857.1941718088219,0.38845635289506114,0.344263414237031,0.2776678344171614,0.04794931616311795,0.151260450325564,0.5933875973405751,0.8122905982672255,0.457197905470423,-0.8571743227523649
7,40026,3.5429617096708363,1.0400009155273438,29.6022059377666,0.3099994659423828,0.5699996948242188,1.9500007629394531,3.7600021362304688,23.488659351442486,675.0541388045801,-0.5938299996712754,-0.09999942779541016,20.434458627111606,-1.4799957275390625,-0.5699996948242188,0.17999839782714844,0.6600017547607422,-13.948905515719595,1141.579624146245,11864149.47096887,2016950.0,156306109.70510894,435450.0,945925.0,4483395.75,10172500.0,27.776613912021926,907.2682159069465,0.4161689201489462,0.3836070217492803,0.2807591397459975,0.05713966524837551,0.17777390029242685,0.6341424836464218,0.8356121433158512,0.3276466822885127,-0.9765725582010245
8,39724,3.46114663284862,1.0469036102294922,26.37377534004836,0.32202625274658203,0.5799980163574219,1.954824447631836,3.769989013671875,22.720607594602857,666.0171921021926,-0.41626420802880437,-0.06000041961669922,15.687689289815264,-1.3999977111816406,-0.5184106826782227,0.23511695861816406,0.7699966430664062,-10.595154469586934,1150.435363294999,12755193.14613332,1997432.5,174324776.8908916,435600.0,946650.0,4431150.0,10104960.00000002,27.952162922121556,917.6519660467923,0.44562069539884264,0.4228582473026985,0.28401819238341547,0.06914870951275388,0.2059923257059117,0.6721308417807548,0.8611133554792786,0.2063496981506548,-1.0548442335082584
9,39981,3.474519163786678,1.06951904296875,27.84775014669477,0.31999969482421875,0.5899982452392578,2.0,3.899993896484375,23.872103261501074,702.7573370301185,-0.12028947871684617,-0.0200042724609375,16.71505001407861,-1.30999755859375,-0.47199249267578125,0.2870445251464844,0.8687896728515625,-1.3817786856823226,1319.1626231890027,14229954.828668617,1991300.0,179433757.68197846,435600.0,942300.0,4457800.0,10101000.0,21.62427446301366,495.80329293752413,0.4710920499759453,0.4605253251277639,0.28737730421932234,0.08042073700999679,0.22999954223609811,0.7096771017912333,0.8833339161331978,0.10421413205527273,-1.098652524331678
10,39573,3.4609335682346183,1.0699996948242188,30.653607498026364,0.3299980163574219,0.5900001525878906,2.0100021362304688,3.8600006103515625,29.04630909670052,1112.5988051543322,-0.11432067351052148,0.0,17.530704942636685,-1.2199966430664062,-0.4000091552734375,0.34999847412109375,0.989990234375,2.719577298594992,1359.4815994753678,15686259.835342279,2030400.0,199008571.14220783,445120.0,959200.0,4554107.0,10283860.00000001,20.898323360519974,475.44552375899883,0.4984133877178046,0.4999999999983334,0.2867833507870774,0.09948606038652538,0.26056027766715295,0.740258903843954,0.8955098909188907,-0.020969960516170914,-1.115434750525419
