label,run_id,exit_code,start,end,wall_seconds,objective_mode,actual_horizon_days,n_combos,is_best_oos_ir,is_best_oos_ar,is_best_oos_mdd,is_best_oos_cr,oracle_oos_ir,oracle_oos_ar,oracle_oos_mdd,oracle_oos_cr
A04_compressed_anchor_calmar,20260514_162409_A04_compressed_anchor_calmar,0,2026-05-14 16:24:09,2026-05-14 16:32:35,506,calmar,5,4,-0.9789408038651491,-0.2776277192205594,-0.3479498921917937,,0.1829020382204402,0.05156932109975106,-0.14835613283308716,
A05_volcomp_anchor_ir,20260514_165138_A05_volcomp_anchor_ir,0,2026-05-14 16:51:38,2026-05-14 17:28:10,2192,ir,3,22,-1.3594923328047441,-0.289482042171337,-0.39489582324028016,,-0.2925001064574023,-0.0957331210072312,-0.5506909631888072,
A02_paper_anchor_calmar,20260514_165138_A02_paper_anchor_calmar,0,2026-05-14 16:51:38,2026-05-14 17:28:23,2205,calmar,5,19,1.922596566815056,0.7334527041235087,-0.1425889446735381,,1.922596566815056,0.7334527041235087,-0.1425889446735381,
A01_paper_anchor_ir,20260514_165138_A01_paper_anchor_ir,0,2026-05-14 16:51:38,2026-05-14 17:30:49,2351,ir,5,16,-0.9430816277738887,-0.23014645083505486,-0.4260282871458266,,0.9081451380477055,0.3054958167979063,-0.2037898880595992,
A03_compressed_anchor_ir,20260514_165138_A03_compressed_anchor_ir,0,2026-05-14 16:51:38,2026-05-14 17:33:26,2508,ir,5,16,-0.5405917933030048,-0.12488896593766287,-0.3088636589050293,,-0.1473779025413802,-0.03882827228296282,-0.3302162835597992,
A06_volcomp_anchor_calmar,20260514_165148_A06_volcomp_anchor_calmar,0,2026-05-14 16:51:48,2026-05-14 17:36:23,2675,calmar,5,19,-0.8266684193269712,-0.22607785164116176,-0.4047740197181702,,0.6934190861886652,0.23468910444435406,-0.1829336449543635,
A09_panic_anchor_ir,20260514_173050_A09_panic_anchor_ir,0,2026-05-14 17:30:50,2026-05-14 18:03:04,1934,ir,3,10,-1.394246721274598,-0.2716809225749577,-0.3626123070716858,,-0.8053494746592269,-0.21271604814695363,-0.27087149871913735,
A07_volcomp2_anchor_ir,20260514_172810_A07_volcomp2_anchor_ir,0,2026-05-14 17:28:10,2026-05-14 18:07:31,2361,ir,5,15,-0.71585762750193,-0.17859818024227597,-0.32280512424234364,,-0.34930449956795756,-0.09921379111594787,-0.44130970088640853,
B03_compressed_s07_ir,20260514_180732_B03_compressed_s07_ir,0,2026-05-14 18:07:32,2026-05-14 18:41:48,2056,ir,5,15,-0.8760381682076857,-0.20394289243172228,-0.38465367126464844,,0.07544839244389849,0.02058759897726551,-0.31370265245437623,
A10_panic_anchor_calmar,20260514_173330_A10_panic_anchor_calmar,0,2026-05-14 17:33:30,2026-05-14 18:42:20,4130,calmar,3,44,-1.4316142625027002,-0.2792716742543036,-0.3626123070716858,,-0.6456767074034623,-0.16265823766527845,-0.2913059091567993,
B01_compressed_s05_ir,20260514_173630_B01_compressed_s05_ir,0,2026-05-14 17:36:30,2026-05-14 19:12:43,5773,ir,3,109,-1.2068435615919764,-0.2934112116875145,-0.44509490029017135,,0.251037328019536,0.06783338460837207,-0.28041038195292156,
A08_volcomp2_anchor_calmar,20260514_172830_A08_volcomp2_anchor_calmar,0,2026-05-14 17:28:30,2026-05-14 19:17:35,6545,calmar,5,79,-1.2013627337673276,-0.2409799676589024,-0.3477895178794861,,0.08759809675786027,0.02693895916464554,-0.21121705650999437,
B05_compressed_e1_ir,20260514_184224_B05_compressed_e1_ir,0,2026-05-14 18:42:24,2026-05-14 19:18:17,2153,ir,5,11,-0.949941605731195,-0.2209230258097538,-0.37892917072829746,,-0.6225190783715385,-0.18466285843818572,-0.3668972384564897,
B06_compressed_e1_calmar,20260514_191246_B06_compressed_e1_calmar,0,2026-05-14 19:12:46,2026-05-14 19:42:08,1762,calmar,5,15,-0.584780360521638,-0.16567565131978898,-0.3517699774424236,,0.3274784745236035,0.09282967037269724,-0.20328303068365372,
B02_compressed_s05_calmar,20260514_180312_B02_compressed_s05_calmar,0,2026-05-14 18:03:12,2026-05-14 19:44:17,6065,calmar,3,109,-1.2472888391977646,-0.3274963193632083,-0.5333916026333645,,0.5788119291638957,0.172633445784748,-0.16934694862365723,
